Id_Funcionario,Idade,Valor Diaria,Indice_Envolvimento_Trabalho,Nivel_Satisfacao_Trabalho,Salario_Mensal,Numero_Empresas_Anteriores,Disponivel_Hora_Extra,Percentual_Ultimo_Aumento_Salario,Aval_Performance,Anos_Experiencia,Numero_Treinamentos_Ano_Anterior,Anos_na_Empresa,Anos_Funcao_Atual,Anos_Desde_Ultima_Promocao,Anos_com_Gerente_Atual,Promocao_Recomendada,Id_Funcao,Id_Departamento,Id_Viagem,Id_Genero,Id_Estado_Civil
80,50,989,2,3,18740,5,S,12,3,29,2,27,3,13,8,Sim,6,1,1,1,3
81,59,1435,3,1,7637,7,N,11,3,28,3,21,16,7,9,Sim,1,1,1,1,1
83,36,1223,3,3,10096,1,N,13,3,17,2,17,14,12,8,Sim,4,1,1,1,3
84,55,836,3,3,14756,2,S,14,3,21,2,5,0,0,2,Não,5,1,1,1,3
85,36,1195,2,2,6499,1,N,13,3,6,3,6,5,0,3,Não,3,1,2,2,1
86,45,1339,3,1,9724,2,N,17,3,25,2,1,0,0,0,Não,1,1,1,2,3
88,35,664,3,1,2194,4,N,13,3,5,2,3,2,1,2,Não,1,1,2,2,2
90,36,318,2,3,3388,0,S,17,3,2,0,1,0,0,0,Não,1,1,1,2,2
91,59,1225,2,3,5473,7,N,11,3,20,2,4,3,1,3,Não,1,1,2,1,1
94,29,1328,3,2,12703,0,N,23,4,6,3,5,4,0,4,Não,1,1,1,2,2
95,31,1082,3,2,2501,1,N,17,3,1,4,1,1,1,0,Não,1,1,1,2,1
96,32,548,3,2,16220,1,N,17,3,10,3,10,4,0,9,Não,1,1,1,2,2
97,36,132,4,4,13038,3,N,12,3,5,3,1,0,0,0,Não,2,1,1,1,2
98,31,746,3,4,14424,1,N,23,4,11,2,11,7,1,8,Não,3,1,1,1,1
100,35,776,2,1,14312,0,N,14,3,16,2,15,13,2,8,Não,1,1,1,2,1
101,45,193,3,1,13245,4,S,14,3,17,3,0,0,0,0,Não,6,1,1,2,2
102,37,397,3,3,13664,4,N,13,3,16,3,5,2,0,2,Não,6,1,1,2,1
103,46,945,3,2,15021,8,S,22,4,16,2,4,2,0,2,Não,1,1,1,2,3
104,30,852,2,4,5126,1,S,12,3,10,1,10,8,3,0,Não,2,1,1,2,2
105,35,1214,2,3,12859,1,N,18,3,6,3,6,4,0,4,Não,1,1,1,2,1
106,55,111,3,4,10239,3,N,14,3,24,4,1,0,1,0,Não,1,1,1,2,2
107,38,573,1,4,15329,7,S,12,3,17,3,13,11,1,9,Não,1,1,3,1,3
110,34,1153,3,2,4325,1,N,15,3,5,2,5,2,1,3,Não,3,1,1,2,2
112,56,1400,1,4,17260,4,N,11,3,37,3,6,4,0,2,Não,3,1,1,2,1
113,23,541,3,1,2322,3,N,13,3,3,3,0,0,0,0,Não,5,1,1,2,3
116,51,432,3,4,2075,3,N,23,4,10,4,4,2,0,3,Não,2,1,1,2,2
117,30,288,2,4,4152,1,N,19,3,11,3,11,10,10,8,Sim,4,1,1,2,2
118,46,669,2,4,9619,1,N,16,3,9,3,9,8,4,7,Não,1,1,1,2,1
119,40,530,2,2,13503,1,N,22,4,22,3,22,3,11,11,Sim,4,1,2,2,2
120,51,632,3,4,5441,0,S,22,4,11,2,10,7,1,0,Não,1,1,1,2,1
121,30,1334,2,2,5209,1,S,12,3,11,4,11,8,2,7,Não,1,1,1,1,3
124,46,638,2,1,10673,2,S,13,3,21,5,10,9,9,5,Sim,4,1,2,2,2
125,32,1093,3,3,5010,1,N,16,3,12,0,11,8,5,7,Sim,1,1,1,2,1
126,54,1217,3,3,13549,9,N,12,3,16,5,4,3,0,3,Não,6,1,1,1,2
128,24,1353,3,3,4999,0,N,21,4,4,2,3,2,0,2,Não,1,1,1,1,2
129,28,120,3,3,4221,1,N,15,3,5,3,5,4,0,4,Não,1,1,3,2,2
131,58,682,3,3,13872,0,N,13,3,38,1,37,10,1,8,Não,1,1,1,2,1
132,44,489,3,2,2042,4,N,12,3,17,3,3,2,1,2,Não,2,1,3,2,2
133,37,807,3,1,2073,4,S,22,4,7,3,3,2,0,2,Não,1,1,1,2,3
134,32,827,3,1,2956,1,N,13,3,1,2,1,0,0,0,Não,1,1,1,2,1
137,20,871,2,4,2926,1,S,18,3,1,5,1,0,1,0,Não,2,1,2,1,1
138,34,665,3,3,4809,1,N,14,3,16,3,16,13,2,10,Não,1,1,1,1,1
139,37,1040,2,4,5163,5,N,14,3,17,2,1,0,0,0,Não,4,1,3,2,3
140,59,1420,2,4,18844,9,N,21,4,30,3,3,2,2,2,Não,5,1,3,1,2
141,50,1115,3,2,18172,3,S,19,3,28,1,8,3,0,7,Não,6,1,2,1,2
142,25,240,2,3,5744,1,S,11,3,6,1,6,4,0,3,Não,1,1,1,2,1
143,25,1280,2,4,2889,1,N,11,3,2,2,2,2,2,1,Não,1,1,1,2,2
144,22,534,3,4,2871,1,N,15,3,1,5,0,0,0,0,Não,2,1,1,1,1
145,51,1456,2,1,7484,3,N,20,4,23,1,13,12,12,8,Sim,4,1,2,1,1
147,34,658,1,3,6074,1,S,24,4,9,3,9,7,0,6,Não,2,1,2,2,1
148,54,142,4,4,17328,2,S,12,3,23,3,5,3,4,4,Não,5,1,3,1,1
150,24,1127,3,3,2774,0,N,12,3,6,2,5,3,1,2,Não,2,1,1,2,2
151,34,1031,2,2,4505,6,N,15,3,12,3,1,0,0,0,Não,1,1,1,1,3
152,37,1189,3,4,7428,2,N,12,3,12,3,5,3,1,3,Não,1,1,1,2,1
153,34,1354,2,1,11631,2,N,12,3,14,6,11,10,5,8,Sim,5,1,1,1,1
154,36,1467,3,4,9738,0,N,14,3,10,6,9,7,2,8,Não,1,1,2,1,2
155,36,922,3,4,2835,5,N,22,4,7,2,1,0,0,0,Não,2,1,1,1,3
158,43,394,3,4,16959,1,S,12,3,25,3,25,12,4,12,Não,5,1,2,2,2
159,30,1312,1,3,2613,1,N,25,4,10,2,10,7,0,9,Não,1,1,2,2,3
160,33,750,3,2,6146,0,N,13,3,8,2,7,7,0,7,Não,1,1,3,2,2
161,56,441,3,2,4963,9,S,18,3,7,2,5,4,4,3,Não,1,1,1,1,2
162,51,684,3,3,19537,7,N,13,3,23,5,20,18,15,15,Sim,6,1,1,2,1
163,31,249,1,3,6172,4,S,18,3,12,3,7,7,7,7,Sim,1,1,1,2,2
164,26,841,2,2,2368,1,N,19,3,5,3,5,4,4,3,Não,1,1,1,1,2
165,58,147,3,4,10312,1,N,12,3,40,3,40,10,15,6,Sim,4,1,1,1,2
167,19,528,3,3,1675,1,S,19,3,0,2,0,0,0,0,Não,5,1,1,2,1
169,22,594,3,4,2523,0,N,14,3,3,2,2,1,2,1,Não,2,1,1,2,2
170,49,470,3,1,6567,1,N,14,3,16,2,15,11,5,11,Sim,3,1,1,1,2
171,43,957,4,3,4739,4,N,12,3,18,2,3,2,1,2,Não,1,1,2,1,1
174,50,809,3,4,9208,4,N,11,3,16,3,2,2,2,1,Não,1,1,2,1,1
175,31,542,1,3,4559,3,S,11,3,4,2,2,2,2,2,Não,1,1,1,1,2
176,41,802,3,3,8189,3,S,13,3,12,2,9,7,0,7,Não,1,1,1,2,3
177,26,1355,3,3,2942,1,N,23,4,8,3,8,7,5,7,Sim,1,1,1,1,2
178,36,216,3,2,4941,6,N,20,4,7,0,3,2,0,1,Não,3,1,1,2,3
179,51,1150,1,4,10650,2,N,15,3,18,2,4,2,0,3,Não,3,1,2,2,1
182,39,1329,2,3,5902,4,N,14,3,17,1,15,11,5,9,Sim,1,1,1,1,2
183,25,959,2,3,8639,2,N,18,3,6,3,2,2,2,2,Não,1,1,1,2,2
184,30,1240,3,4,6347,0,S,19,3,12,2,11,9,4,7,Não,1,1,1,2,2
190,32,1033,3,1,4200,7,N,22,4,10,2,5,4,0,4,Não,2,1,1,1,1
192,45,1316,3,4,3452,5,N,13,3,9,2,6,5,0,3,Não,1,1,1,2,1
193,38,364,3,3,4317,3,S,20,4,19,2,3,2,2,2,Não,1,1,1,1,1
194,30,438,3,3,2632,1,N,14,3,5,4,5,4,0,4,Não,1,1,1,1,1
195,32,689,1,4,4668,0,N,17,3,9,2,8,7,0,7,Não,1,1,2,2,3
197,30,201,3,1,13204,5,N,14,3,8,3,3,2,2,2,Não,1,1,1,1,3
198,30,1427,2,4,2720,0,N,13,3,6,3,5,3,1,2,Não,2,1,1,2,1
199,41,857,2,1,17181,4,N,13,3,21,2,7,6,7,7,Sim,5,1,2,2,3
200,41,933,3,1,2238,2,N,21,4,7,2,5,0,1,4,Não,2,1,1,2,2
201,19,1181,3,2,1483,1,N,14,3,1,3,1,0,0,0,Não,2,1,1,1,1
202,40,1395,3,2,5605,1,N,11,3,20,2,20,7,2,13,Não,1,1,2,1,3
204,35,662,3,2,7295,1,N,13,3,10,3,10,8,0,6,Não,1,1,1,2,2
205,53,1436,3,3,2306,2,S,20,4,13,3,7,7,4,5,Não,5,1,1,2,2
206,45,194,3,2,2348,8,N,18,3,20,2,17,9,0,15,Não,2,1,1,2,3
207,32,967,3,4,8998,1,N,14,3,9,2,9,8,3,7,Não,1,1,2,1,1
208,29,1496,3,3,4319,1,N,13,3,10,1,10,7,0,9,Não,3,1,3,2,2
211,51,1169,2,3,6132,2,N,17,3,10,2,1,0,0,0,Não,3,1,1,2,2
214,58,1145,2,2,3346,4,S,20,4,9,3,1,0,0,0,Não,1,1,1,1,2
215,40,630,2,4,10855,7,N,11,3,15,2,12,11,2,11,Não,1,1,1,2,2
216,34,303,3,3,12231,6,N,18,3,6,3,4,3,1,2,Não,5,1,2,1,2
217,22,1256,3,4,12323,1,N,24,4,2,6,2,2,2,2,Não,1,1,1,2,2
218,27,691,3,2,2024,6,N,18,3,6,1,2,2,2,2,Não,1,1,3,2,3
221,28,440,3,4,2713,1,N,11,3,5,2,5,2,0,2,Não,1,1,1,2,2
223,57,334,4,4,9439,3,S,16,3,12,2,5,3,1,4,Não,4,1,1,2,3
224,27,1450,2,3,2566,1,S,15,3,1,2,1,1,0,1,Não,1,1,3,2,3
226,50,1452,3,2,19926,3,N,15,3,21,5,5,4,4,4,Não,5,1,1,1,1
227,41,465,3,3,2451,4,N,12,3,13,2,9,8,1,8,Não,1,1,1,2,3
228,30,1339,3,4,9419,2,N,12,3,12,2,10,9,7,4,Sim,1,1,1,1,2
230,38,702,2,4,8686,4,N,22,4,12,2,8,3,0,7,Não,1,1,1,1,1
231,32,120,3,3,3038,3,N,20,4,8,2,5,4,1,4,Não,1,1,1,2,1
233,27,1157,3,2,3058,0,S,16,3,6,3,5,2,1,1,Não,1,1,1,2,2
235,19,602,1,1,2325,0,N,21,4,1,5,0,0,0,0,Não,5,1,2,1,1
238,36,1480,3,2,2088,4,N,12,3,13,3,8,7,7,2,Sim,2,1,2,2,1
239,30,111,3,1,3072,1,N,11,3,12,4,12,9,6,10,Sim,2,1,3,2,3
240,45,1268,3,1,5006,4,S,11,3,9,3,5,4,0,3,Não,1,1,1,1,3
241,56,713,3,1,4257,4,S,18,3,19,3,2,2,2,2,Não,1,1,1,1,3
242,33,134,3,4,2500,0,N,14,3,4,2,3,1,0,2,Não,1,1,1,2,1
243,19,303,2,4,1102,1,N,22,4,1,3,1,0,1,0,Não,2,1,1,2,1
244,46,526,3,1,10453,1,N,25,4,24,2,24,13,15,7,Sim,1,1,1,1,3
245,38,1380,3,4,2288,1,N,12,3,2,3,2,2,2,1,Não,2,1,1,1,1
246,31,140,3,4,3929,8,S,23,4,7,0,4,2,0,2,Não,1,1,1,1,2
247,34,629,3,2,2311,2,N,15,3,9,3,3,2,1,2,Não,1,1,1,1,1
248,41,1356,3,2,3140,1,S,22,4,4,5,4,3,0,2,Não,5,1,1,1,1
249,50,328,2,3,3690,2,N,15,3,5,2,3,2,0,2,Não,2,1,1,2,2
250,53,1084,4,1,4450,1,N,11,3,5,3,4,2,1,3,Não,3,1,1,1,3
252,33,931,3,2,2756,1,N,13,3,8,5,8,7,1,6,Não,1,1,1,1,2
253,40,989,3,3,19033,1,N,14,3,21,2,20,8,9,9,Sim,5,1,1,1,2
254,55,692,4,2,18722,8,N,11,3,36,3,24,15,2,15,Não,6,1,1,2,1
256,34,1069,2,3,9547,1,N,17,3,10,2,10,9,1,9,Não,3,1,2,2,2
258,51,313,3,2,13734,3,N,18,3,21,6,7,7,1,0,Não,4,1,1,1,1
259,52,699,2,3,19999,0,N,14,3,34,5,33,18,11,9,Sim,5,1,1,2,2
260,27,894,3,2,2279,1,N,16,3,7,2,7,7,0,3,Não,1,1,1,1,1
261,35,556,2,3,5916,3,S,13,3,8,1,1,0,0,1,Não,3,1,1,2,2
262,43,1344,4,4,2089,4,N,14,3,7,3,5,4,2,2,Não,1,1,3,2,3
264,45,1195,2,4,16792,9,N,23,4,22,1,20,8,11,8,Sim,5,1,3,2,2
267,37,290,4,1,3564,1,S,12,3,8,3,8,7,1,7,Não,1,1,1,2,2
269,35,138,3,2,4425,5,N,11,3,10,5,6,2,1,2,Não,2,1,2,1,1
270,42,926,3,3,5265,2,N,16,3,11,5,5,3,0,2,Não,3,1,3,1,3
271,38,1261,3,3,6553,9,N,14,3,14,3,1,0,0,0,Não,3,1,1,2,2
273,38,1084,3,4,6261,3,N,18,3,9,3,7,7,1,7,Não,3,1,1,2,2
274,27,472,2,1,4298,5,N,19,3,6,1,2,2,2,0,Não,3,1,2,2,2
275,49,1002,3,4,6804,1,S,15,3,7,0,7,7,1,7,Não,3,1,3,2,3
277,34,878,3,3,3815,1,S,17,3,5,4,5,3,2,0,Não,1,1,2,2,3
281,40,905,3,4,2741,8,S,15,3,15,2,7,2,3,7,Não,2,1,1,2,2
282,38,1180,3,1,6673,7,S,19,3,17,2,1,0,0,0,Não,4,1,1,2,2
283,29,121,3,4,7639,1,N,22,4,10,3,10,4,1,9,Não,1,1,1,1,2
284,22,1136,4,2,2328,1,S,16,3,4,2,4,2,2,2,Não,1,1,1,2,3
286,36,635,3,4,2153,1,N,13,3,8,2,8,1,1,7,Não,2,1,2,1,1
287,40,1151,2,4,4876,9,N,14,3,5,5,3,2,0,2,Não,4,1,3,2,2
288,46,644,3,1,9396,7,N,16,3,17,3,4,2,0,3,Não,4,1,1,2,3
291,32,1045,1,4,10400,1,N,11,3,14,2,14,8,9,8,Sim,1,1,1,2,2
292,30,829,2,3,8474,1,N,22,4,12,2,11,8,5,8,Sim,3,1,3,2,1
293,27,1242,3,3,9981,1,N,14,3,7,2,7,7,0,7,Não,1,1,2,1,1
296,51,1469,2,2,12490,5,N,16,3,16,5,10,9,4,7,Não,6,1,1,2,2
297,30,1005,3,1,2657,5,S,11,3,8,5,5,2,0,4,Não,1,1,1,1,1
298,41,896,3,4,13591,3,S,18,3,16,3,1,0,0,0,Não,5,1,1,1,1
299,30,334,2,1,6696,5,N,15,3,9,5,6,3,0,1,Não,1,1,2,1,1
300,29,992,3,3,2058,0,N,14,3,7,1,6,2,1,5,Não,1,1,1,2,1
302,45,1052,2,4,8865,6,N,12,3,23,2,19,7,12,8,Sim,1,1,3,1,1
303,54,1147,3,1,5940,2,N,14,3,16,4,6,2,0,5,Não,1,1,1,1,2
304,36,1396,3,2,5914,8,N,16,3,16,3,13,11,3,7,Não,2,1,1,2,1
305,33,147,2,2,2622,6,N,21,4,7,3,3,2,1,1,Não,1,1,1,1,2
306,37,663,3,4,12185,1,S,14,3,10,1,10,8,0,7,Não,6,1,2,2,3
307,38,119,3,3,10609,0,N,12,3,17,6,16,10,5,13,Sim,1,1,1,2,3
308,31,979,1,3,4345,0,N,12,3,6,2,5,4,1,4,Não,3,1,3,2,2
309,59,142,2,4,2177,3,N,17,3,7,6,1,0,0,0,Não,1,1,1,2,2
311,37,319,3,4,2793,4,N,17,3,13,2,9,8,5,8,Sim,5,1,2,2,3
312,29,1413,3,4,7918,1,N,14,3,11,5,11,10,4,1,Não,1,1,2,1,2
314,35,944,3,3,8789,1,N,14,3,10,3,10,7,0,8,Não,1,1,2,1,1
315,29,896,2,4,2389,1,S,13,3,4,3,4,3,0,1,Não,1,1,1,2,1
316,52,1323,2,4,3212,7,N,15,3,6,3,2,2,2,2,Não,2,1,1,1,1
319,42,532,3,4,19232,1,N,11,3,22,3,22,17,11,15,Sim,5,1,1,2,2
321,59,818,3,3,2267,8,N,17,3,7,2,2,2,2,2,Não,1,1,1,2,2
323,50,854,3,4,19517,3,N,11,3,32,3,7,0,0,6,Não,5,1,1,1,3
325,33,813,3,4,2436,5,S,13,3,8,2,5,4,0,4,Não,2,1,1,2,2
327,43,1034,3,4,16064,5,S,22,4,22,3,17,13,1,9,Não,5,1,1,1,2
328,33,465,3,1,2707,7,N,20,4,13,3,9,7,1,7,Não,2,1,1,1,2
329,52,771,2,3,19068,1,S,18,3,33,2,33,7,15,12,Sim,5,1,3,2,1
330,32,1401,3,2,3931,2,N,11,3,6,5,4,3,1,2,Não,5,1,1,1,2
331,32,515,2,3,3730,0,S,14,3,4,2,3,2,1,2,Não,2,1,1,2,1
332,39,1431,3,3,2232,7,N,14,3,7,1,3,2,1,2,Não,2,1,1,1,3
333,32,976,3,4,4465,0,N,18,3,4,2,3,2,2,2,Não,1,1,3,2,2
334,41,1411,3,1,3072,2,N,16,3,17,2,1,0,0,0,Não,1,1,1,2,3
335,40,1300,3,4,3319,1,N,17,3,9,3,9,8,4,7,Não,1,1,1,2,3
336,45,252,4,4,19202,0,N,11,3,25,2,24,0,1,7,Não,5,1,1,2,2
337,31,1327,3,3,13675,9,N,12,3,9,3,2,2,2,2,Não,6,1,2,2,3
338,33,832,2,4,2911,1,N,13,3,2,2,2,2,0,2,Não,1,1,1,1,2
339,34,470,2,1,5957,6,N,13,3,13,3,11,9,5,9,Sim,3,1,1,2,2
340,37,1017,2,1,3920,2,N,14,3,17,2,3,1,0,2,Não,1,1,1,1,2
341,45,1199,4,3,6434,4,N,17,3,9,1,3,2,0,2,Não,3,1,2,2,2
342,37,504,3,3,10048,6,N,11,3,17,5,1,0,0,0,Não,3,1,2,2,3
343,39,505,3,3,10938,0,N,25,4,20,1,19,6,11,8,Sim,4,1,2,1,1
346,29,665,3,4,2340,1,N,19,3,6,1,6,5,1,5,Não,1,1,1,2,1
347,42,916,4,1,6545,3,S,13,3,10,1,3,2,0,2,Não,1,1,1,1,1
349,29,1247,3,4,6931,2,N,14,3,10,2,3,2,0,2,Não,1,1,1,2,3
350,25,685,3,3,4898,0,N,12,3,5,3,4,2,1,2,Não,3,1,1,1,2
351,42,269,2,1,2593,0,S,11,3,10,4,9,6,7,8,Sim,2,1,1,1,3
352,40,1416,3,3,19436,0,N,19,3,22,5,21,7,3,9,Não,6,1,1,2,3
353,51,833,3,4,2723,1,N,11,3,1,0,1,0,0,0,Não,1,1,1,2,2
355,31,307,2,2,3479,0,N,11,3,6,2,5,4,1,4,Não,2,1,2,2,1
359,32,1311,4,2,2794,1,N,20,4,5,3,5,1,0,3,Não,2,1,2,2,2
361,38,1327,2,4,5249,3,N,18,3,13,0,8,7,7,5,Sim,1,1,3,2,2
362,32,128,2,1,2176,4,N,13,3,9,5,6,2,0,4,Não,2,1,1,2,1
363,46,488,1,2,16872,3,S,12,3,28,2,7,7,7,7,Sim,5,1,1,1,2
364,28,529,3,3,3485,2,N,11,3,5,5,0,0,0,0,Não,2,1,1,2,1
366,29,1210,2,2,6644,2,N,19,3,10,2,0,0,0,0,Não,1,1,1,2,2
367,31,1463,2,4,5582,0,N,21,4,10,2,9,0,7,8,Sim,4,1,1,2,2
369,25,675,4,1,4000,1,N,12,3,6,2,6,3,1,5,Não,4,1,3,2,3
372,45,1385,3,4,13496,0,S,14,3,21,2,20,7,4,10,Não,4,1,1,2,2
373,36,1403,3,4,3210,0,N,11,3,16,4,15,13,10,11,Sim,2,1,1,2,2
374,55,452,3,1,19045,0,S,14,3,37,2,36,10,4,13,Não,5,1,1,2,1
376,47,666,3,2,11849,1,S,12,3,10,2,10,7,9,9,Sim,5,1,3,2,2
377,28,1158,3,4,2070,1,N,23,4,5,3,5,2,0,4,Não,1,1,1,2,2
378,37,228,3,4,6502,4,N,14,3,7,5,5,4,0,1,Não,1,1,1,2,2
379,21,996,2,3,3230,1,N,17,3,3,4,3,2,1,0,Não,1,1,1,2,1
380,37,728,3,4,13603,2,S,18,3,15,2,5,2,0,2,Não,6,1,3,1,3
381,35,1315,4,2,11996,7,N,18,3,10,6,7,7,6,2,Sim,5,1,1,1,3
382,38,322,4,1,5605,1,S,24,4,8,3,8,0,7,7,Sim,1,1,1,1,3
384,26,1479,3,2,6397,1,N,20,4,6,6,6,5,1,4,Não,3,1,2,1,3
385,50,797,3,2,19144,3,N,14,3,28,4,10,4,1,6,Não,6,1,1,2,3
386,53,1070,3,3,17584,3,S,16,3,21,5,5,3,1,3,Não,6,1,1,2,2
387,42,635,3,3,4907,1,N,25,4,20,3,20,16,11,6,Sim,1,1,1,2,2
388,29,442,3,4,4554,1,N,18,3,10,3,10,7,0,9,Não,1,1,2,2,1
389,55,147,3,4,5415,3,S,19,3,12,4,10,7,0,8,Não,2,1,1,2,2
390,26,496,3,1,4741,1,S,13,3,5,3,5,3,3,3,Não,4,1,2,2,2
391,37,1372,3,4,2115,1,N,12,3,17,3,17,12,5,7,Sim,1,1,1,1,1
392,44,920,3,3,3161,3,S,22,4,19,0,1,0,0,0,Não,2,1,2,2,3
393,38,688,3,4,5745,9,N,14,3,10,2,2,2,1,2,Não,4,1,1,2,3
394,26,1449,3,2,2373,2,S,13,3,5,2,3,2,0,2,Não,2,1,1,2,3
